iata_code;1;2
LZD;;Lanzhoudong
LZH;Лучжоу;Liuzhou
LZI;Луози;Luozi
LZM;;Luzamba
LZN;;Nangan
LZO;Лужчоу;Luzhou
LZR;Лизард Айленд;Lizard Island
MAA;;Madras International (meenambakkam)
MAB;;Maraba
MAC;;Smart
MAD;;Barajas
MAE;;Madera
MAF;;Midland International
MAG;Маданг;Madang
MAH;;Mahon
MAI;Мангочи;Mangochi
MAJ;;Amata Kabua Intl
MAK;Малакал;Malakal
MAL;Манголе;Mangole
MAM;Матаморос;Matamoros
MAN;Манчестер;Manchester
MAO;;Eduardo Gomes Intl
MAP;Мамаи;Mamai
MAQ;Мей-Сот;Mae Sot
MAR;;La Chinita
MAS;;Momote
MAT;Матади;Matadi
MAU;;Maupiti
MAV;;Maloelap Island
MAW;;Malden
MAX;Матам;Matam
MAY;Менгров-Кэй;Mangrove Cay
MAZ;;Eugenio M De Hostos
MBA;;Moi International
MBB;;Marble Bar
MBC;Мбигу;Mbigou
MBD;;Mafikeng International Airport
MBE;Монбецу;Monbetsu
MBF;;Mount Buffalo
MBG;;Mobridge
MBH;;Maryborough
MBI;Мбея;Mbeya
MBJ;;Sangster International
MBK;Матупа;Matupa
MBL;;Blacker
MBM;Мкамбати;Mkambati
MBN;;Mt Barnett
MBO;Мамбурао;Mamburao
MBP;Мойобамба;Moyobamba
MBQ;Мбарара;Mbarara
MBR;Мбаут;Mbout
MBS;;MBS International Airport
MBT;Масбате;Masbate
MBU;Мбамбанакира;Mbambanakira
MBV;Маса;Masa
MBW;;Moorabbin
MBX;;Maribor International Airport
MBY;;Moberly
MBZ;;Maues
MCA;Масента;Macenta
MCB;;Pike County
MCC;;Mcclellan AFB
MCD;;Mackinac Island
MCE;;Merced Municipal Arpt
MCF;;Mac Dill AFB
MCG;;Mcgrath
MCH;Мачала;Machala
MCI;;Kansas City International Airport
MCJ;Маикао;Maicao
MCK;;Mccook
MCL;;Mt Mckinley
MCM;;Fontvieille Heliport
MCN;;Lewis B Wilson
MCO;;Orlando International
MCP;;Internacional
MCQ;Мискольц;Miskolc
MCR;;Melchor De Menco
MCS;;Monte Caseros
MCT;;Seeb
MCU;;Gueret (Lepaud)
MCV;;Mcarthur River
MCW;;Mason City Municipal
MCX;Уйташ;Uitash
MCY;Марухидор;Maroochydore
MCZ;;Palmares
MDA;;Martindale Army Heliport
MDB;Мелинда;Melinda
MDC;;Samratulangi
MDD;;Airpark
MDE;;Jose Maria Cordova
MDF;;Medford
MDG;Муданцзян;Mudanjiang
MDH;;Southern Illinois
MDI;Макурди;Makurdi
MDJ;;City-county
MDK;Мбандака;Mbandaka
MDL;;Mandalay International
MDM;Мундуку;Munduku
MDN;;Jefferson Proving Grd
MDO;;Intermediate
MDP;Миндиптана;Mindiptana
MDQ;;Mar Del Plata
MDR;;Medfra
MDS;Миддл-Кайкос;Middle Caicos
MDT;;Harrisburg International
MDU;Менди;Mendi
MDV;Медунеу;Medouneu
MDW;;Midway
MDX;Мерседес;Mercedes
MDY;;Sand Island Field
MDZ;;El Plumerillo
MEA;;Macae
MEB;;Essendon
MEC;;Manta
MED;;Mohammad Bin Abdulaziz
MEE;;Mare
MEF;Мелфи;Melfi
MEG;;Malange
MEH;Мехамн;Mehamn
MEI;;Key Field
MEJ;;Meadville
MEK;Мекнес;Meknes
MEL;;Tullamarine International
MEM;;Memphis International
MEN;;Brenoux
MEO;;Dare County Regional
MEP;Мерсинг;Mersing
MEQ;;Seunagan
MER;;Castle AFB
MES;;Polonia
MET;;Moreton
MEU;Монте-Дурадо;Monte Dourado
MEV;;Douglas County
MEW;Мвека;Mweka
MEX;;Benito Juarez International
MEY;Мегхаули;Meghauli
MEZ;Мессина;Messina
MFA;;Mafia
MFB;Монфорт;Monfort
MFC;Мафетенг;Mafeteng
MFD;;Lahm Municipal
MFE;;Mc Allen Miller International
MFF;Моанда;Moanda
MFG;Музаффарабад;Muzaffarabad
MFH;;Mesquite
MFI;;Municipal
MFJ;Моала;Moala
MFK;;Matsu
MFL;;Mount Full Stop
MFM;;Macau International
MFN;Милфорд Саунд;Milford Sound
MFO;;Manguna
MFP;;Manners Creek
MFQ;Маради;Maradi
MFR;;Rogue Valley International - Medford Airport
MFS;Мирафлорес;Miraflores
MFT;Мачу-Пиччу;Machu Picchu
MFU;Мфуве;Mfuwe
MFV;;Accomack County
MFW;;Magaruque
MFX;Мерибель;Meribel
MFZ;;Mesalia
MGA;;Augusto C Sandino
MGB;;Mount Gambier
MGC;;Michigan City Arpt
MGD;Магдалена;Magdalena
MGE;;Dobbins Afb
MGF;;Regional De Maringa SBMG
MGG;;Margarima
MGH;Маргейт;Margate
MGI;;Matagorda AFB
MGJ;;Orange County
MGK;;Mong Ton
MGL;;Moenchen-gl. - Dus Exp
MGM;;Dannelly Fld
MGN;Баракоа;Baracoa
MGO;;Manega
MGP;Манга;Manga
MGQ;Могадишо;Mogadishu International Airport
MGR;;Thomasville
MGS;;Mangaia Island
MGT;;Milingimbi
MGU;Манаунг;Manaung
MGV;Маргарет Ривер;Margaret River
MGW;;Morgantown
MGX;Моаби;Moabi
MGY;;Dayton-Wright Brothers Airport
MGZ;;Myeik
MHA;Махдия;Mahdia
MHB;;Mechanics Bay
MHC;;Macmahon Camp 4
MHD;Машад;Mashad
MHE;;Municipal
MHF;Морихал;Morichal
MHG;;Mannheim Arpt
MHH;;International
MHI;Муша;Musha
MHJ;;Misrak Gashamo
MHK;;Municipal
MHL;;Memorial Municipal
MHM;;Intermediate
MHN;;Mullen
MHO;;Mount House
MHP;Минск 1;Minsk International 1
MHQ;Мариехамн;Mariehamn
MHR;;Sacramento Mather Airport
MHS;;Rep
MHT;Манчестер;Manchester
MHU;;Mount Hotham
MHV;;Kern County
MHW;;Monteagudo
MHX;Манихики-Айленд;Manihiki Island
MHY;Морехед;Morehead
MHZ;;Mildenhall Arpt
MIA;Международный Аэропорт Майами;Miami International Airport
MIB;;Minot AFB
MIC;;Crystal
MID;;Rejon
MIE;;Delaware County
MIF;;Roy Hurd Memorial
MIG;;Mian Yang
MIH;Митчелл-Плато;Mitchell Plateau
MII;;Dr Gastao Vidigal
MIJ;;Mili Island
MIK;Миккели;Mikkeli
MIM;Меримбула;Merimbula
MIN;;Minnipa
MIO;Майами;Miami
MIP;;Mitspeh Ramon
MIQ;;Simуn Bolнvar International
MIR;Монастир;Monastir
MIS;;Misima Island
MIT;;Kern County
MIU;Майдугури;Maiduguri
MIV;;Millville
MIW;;Municipal
MIX;Мирити;Miriti
MIY;;Mittiebah
MIZ;;Mainoru
MJA;Мандза;Manja
MJB;;Mejit Island
MJC;;Man
MJD;;Mohenjodaro
MJE;Меджкин;Majkin
MJF;;Kjaerstad
MJG;;Mayajigua
MJH;Маджма;Majma
MJI;;Mitiga
MJJ;Моки;Moki
MJK;;Shark Bay
MJL;Муила;Mouila
MJM;;Mbuji Mayi
MJN;;Amborovy
MJO;;Mount Etjo Lodge
MJP;;Manjimup
MJQ;Джексон;Jackson
MJR;Мирамар;Miramar
MJS;;Maganja Da Costa
MJT;;Mytilene International Airport
MJU;Мамую;Mamuju
MJV;Сан-Хавьер;San Javier
MJW;;Mahenye
MJX;;Robert J. Miller
MJY;Мангунджая;Mangunjaya
MJZ;Мирный;Mirnyj
MKA;Марианские Лазнe;Marianske Lazne
MKB;Мекамбо;Mekambo
MKC;;Downtown
MKD;;Chagni
MKE;;General Mitchell International
MKF;;Mckenna AAF
MKG;;Muskegon
MKH;Мохотлонг;Mokhotlong
MKJ;Макуа;Makoua
MKK;;Molokai
MKL;;Mc Kellar-Sipes Regional
MKM;;Mukah
MKN;Малеколон;Malekolon
MKO;;Davis Field
MKP;Макемо;Makemo
MKQ;;Mopah
MKR;;Meekatharra
MKS;;Mekane Selam
MKT;;Municipal
MKU;Макоку;Makokou
MKV;;Mt Cavenagh
MKW;;Rendani
MKX;Мукалла;Mukalla
MKY;Маккей;Mackay
MKZ;;Batu Berendam
MLA;;Malta International
MLB;;Melbourne International Airport
MLC;;Mc Alester
MLD;;Malad City
MLE;;Male International
MLF;Милфорд;Milford
MLG;;Abdul Rahman Saleh
MLH;;EuroAirport
MLI;;Quad-City
MLJ;;Baldwin County
MLK;Мальта;Malta
MLL;Маршалл;Marshall
MLM;;Francisco J. Mъgica Internacional
MLN;Мелийя;Melilla
MLO;Милос;Milos
MLP;Малабанг;Malabang
MLQ;Малалауа;Malalaua
MLR;;Millicent
MLS;;Municipal
MLT;;Millinocket
MLU;;Municipal
MLV;;Merluna
MLW;;Sprigg Payne
MLX;Малатия;Malatya
MLY;;Manley Hot Springs
MLZ;Мело;Melo
MMB;Меманбецу;Memanbetsu
MMC;Сиудад-Манте;Ciudad Mante
MMD;;Maridor
MME;;Durham Tees Valley
MMF;Мамфе;Mamfe
MMG;;Mount Magnet
MMH;Маммот Лейкс;Mammoth Lakes
MMI;;McMinn County
MMJ;Мацумото;Matsumoto
MMK;Мурманск;Murmansk Airport Murmashi
MML;;Municipal-Ryan Field
MMM;;Middlemount
MMN;;Minute Man Airfield
MMO;;Vila Do Maio
MMP;;Mompos
MMQ;;Mbala
MMR;;Camp Maybry AHP
MMS;;Selfs
MMT;;Mc Entire ANG Base
MMU;;Municipal
MMV;;Mal
MMW;Мома;Moma
MMX;;Sturup
MMY;;Hirara
MMZ;Меймене;Maimana
MNA;Меланггуане;Melangguane
MNB;Моанда;Moanda
MNC;Накала;Nacala
MND;;Medina
MNE;;Mungeranie
MNF;;Mana Island Airstrip
MNG;;Maningrida
MNH;Миннерия;Minneriya
MNI;;"Gerald&#039;s Airport"
MNJ;Манандзари;Mananjary
MNK;Миайана;Maiana
MNL;;Ninoy Aquino Intl
MNM;;Menominee
MNN;;Municipal
MNO;Маноно;Manono
MNP;Марон;Maron
MNQ;;Monto
MNR;Монгу;Mongu
MNS;Манса;Mansa
MNT;;Minto
MNU;;Maulmyine
MNV;Маунтейн-Веллей;Mountain Valley
MNW;;Macdonald Downs
MNX;;Manicore
MNY;Моно;Mono
MNZ;Манассас;Manassas
MOA;;Orestes Acosta
MOB;;Mobile Regional Airport
MOC;;Montes Claros
MOD;;Municipal
MOE;Момейк;Momeik
MOF;;Waioti
MOG;;Mong Hsat
MOH;Моханбари;Mohanbari
MOI;;Mitiaro Island
MOJ;;Moengo
MOK;;Mankono
MOL;;Aro
MOM;Мауджерия;Moudjeria
MON;;Mount Cook Airport
MOO;Мумба;Moomba
MOP;;Municipal
MOQ;Морондава;Morondava
MOR;;Moore-Murrell
MOS;;Intermediate
MOT;;International
MOU;;Mountain Village
MOV;;Moranbah
MOX;;Municipal
MOY;Монтеррей;Monterrey
MOZ;;Temae
MPA;Мпача;Mpacha
MPB;;SPB
MPC;;Muko-Muko
MPD;Мирпур-Хас;Mirpur Khas
MPE;;Griswold
MPF;Мапода;Mapoda
MPG;Макини;Makini
MPH;Катиклан;Malay
MPI;Мамитупо;Mamitupo
MPJ;;Petit Jean Park
MPK;Мокпо;Mokpo
MPL;;Montpellier Mйditerranйe
MPM;;Maputo International
MPN;Маунт-Плезант;Mount Pleasant
MPO;;Mt Pocono
MPP;;Mulatupo
MPQ;Маан;Maan
MPR;;Mcpherson
MPS;Маунт-Плезант;Mount Pleasant
MPT;Малиана;Maliana
MPU;Мапуа;Mapua
MPV;;Edward F Knapp State
MPW;Мариуполь;Mariupol
MPX;Миянмин;Miyanmin
MPY;Марипасула;Maripasoula
MPZ;;Municipal
MQA;;Mandora
MQB;;Municipal
MQC;;Miquelon Aprt
MQD;Макинчао;Maquinchao
MQE;;Marqua
MQF;Магнитогорск;Magnitogorsk
MQG;;Midgard
MQH;;Municipal
MQI;Куинси;Quincy
MQJ;;Merkez
MQK;;San Matias
MQL;Мильдура;Mildura
MQM;Мардин;Mardin
MQN;;Mo I Rana
MQO;;Malam
MQP;;Kruger Mpumalanga
MQQ;Мунду;Moundou
MQR;Москера;Mosquera
MQS;;Mustique
MQT;;Sawyer International
MQU;Марикита;Mariquita
MQV;;Mostaganem
MQW;;Telfair-Wheeler
MQX;Макале;Makale
MQY;;Smyrna
MQZ;Маргарет Ривер;Margaret River
MRA;Мисурата;Misurata
MRB;;Eastern Wv Regional Airport/Shepherd Field
MRC;;Maury County
MRD;;A Carnevalli
MRE;Мара-Лоджес;Mara Lodges
MRF;;Municipal
MRG;;Mareeba
MRH;Мей-Ривер;May River
MRI;;Merrill Field
MRJ;Маркала;Marcala
MRK;Марко Айленд;Marco Island
MRL;Майнерз-Лейк;Miners Lake
MRM;Манаре;Manare
MRN;;Lenoir
MRO;Мастертон;Masterton
MRP;;Marla
MRQ;Мариндюк;Marinduque
MRR;;Macara
MRS;;Marseille Provence Airport
MRT;;Moroak
MRU;;Sir Seewoosagur Ramgoolam Int
MRV;Минеральные Воды;Mineralnye Vodyj
MRW;;Maribo
MRX;;Mahshahr
MRY;;Monterey Peninsula
MRZ;Мори;Moree
MSA;;Muskrat Dam
MSB;;Marigot SPB
MSC;;Falcon Field
MSD;;Mt Pleasant
MSE;;Kent International
MSF;;Mount Swan
MSG;Матсайле;Matsaile
MSH;Масирах;Masirah
MSI;Масалембо;Masalembo
MSJ;Мисава;Misawa
MSK;Мастик-Пойнт;Mastic Point
MSL;Шеффилд;Sheffield
MSM;Маси-Манимба;Masi Manimba
MSN;;Dane County Regional
MSO;;Missoula International
MSP;;Minneapolis - St. Paul Intl
MSQ;Национальный аэропорт Минск;Minsk International 2
MSR;Муш;Mus
MSS;;Richards Field
MST;;Maastricht/aachen
MSU;;Moshoeshoe Intl
MSV;;Sullivan County Intl
MSW;;Massawa International
MSX;;Mossendjo
MSZ;;Namibe
MTA;Матамата;Matamata
MTB;Монте-Либано;Monte Libano
MTC;;Selfridge ANGB
MTD;;Mt Sandford
MTE;;Monte Alegre
MTF;Мизан-Тефери;Mizan Teferi
MTG;;Mato Grosso
MTH;;Marathon Flight Strip
MTI;Мостейрос;Mosteiros
MTJ;;Montrose Regional Airport
MTK;;Makin Island
MTL;Мейтленд;Maitland
MTM;;SPB
MTN;;Glenn L Martin
MTO;;Coles County Memorial
MTP;;Montauk Airport
MTQ;Митчелл;Mitchell
MTR;;S. Jeronimo
MTS;;Matsapha Intl
MTT;Минатитлан;Minatitlan
MTU;Монтепуэс;Montepuez
MTV;Мота-Лава;Mota Lava
MTW;;Municipal
MTX;;Metro Field
MTY;;Gen Mariano Escobedo
MTZ;Масада;Masada
MUA;;Munda
MUB;Мон;Maun
MUC;;Franz Josef Strauss
MUD;;Mueda
MUE;;Kamuela
MUF;Мутинг;Muting
MUG;Мулеж;Mulege
MUH;;Mersa Matruh
MUI;;Muir AAF
MUJ;Муи;Mui
MUK;;Mauke Island
MUL;;Spence
MUM;Мумиас;Mumias
MUN;;Quiriquire
MUO;;AFB
MUP;;Mulga Park
MUQ;;Muccan
MUR;;Marudi
MUS;;Marcus Island
MUT;;Muscatine
MUU;;Mount Union
MUV;;Mustin Alf
MUW;Маскара;Mascara
MUX;Мултан;Multan
MUY;Муйондзи;Mouyondzi
MUZ;Мусома;Musoma
MVA;;Reykiahlid
MVB;;Franceville/Mvengue
MVC;;Monroe - Walton County
MVD;;Carrasco International
MVE;;Montevideo-Chippewa
MVF;;Dixsept Rosado
MVG;Меван;Mevang
MVH;;Macksville
MVI;Манетай;Manetai
MVJ;;Marlboro
MVK;;Mulka
MVL;;Morrisville-Stowe
MVM;Моньюмент Вэлли;Monument Valley
MVN;;Mt Vernon-Outland
MVO;Монго;Mongo
MVP;Миту;Mitu
MVQ;Могилев;Mogilev
MVR;;Salam
MVS;;Aeroporto Max Feffer
MVT;Матайва;Mataiva
MVU;;Musgrave
MVV;Мегев;Megeve
MVW;;Skagit Regional
MVX;Минвул;Minvoul
MVZ;Масвинго;Masvingo
MWA;;Williamson County
MWB;;Morawa
MWC;;Lawrence J Timmerman
MWD;Мьанвали;Mianwali
MWE;Мерове;Merowe
MWF;Мево;Maewo
MWG;Маравака;Marawaka
MWH;;Grant County
MWI;Марамуни;Maramuni
MWJ;Маттьюс-Ридж;Matthews Ridge
MWK;Матак;Matak
MWL;;Mineral Wells Arpt
MWM;;Windom Municipal
MWN;Мвадуй;Mwadui
MWO;;Hook Field
MWP;Маунтин;Mountain
MWQ;Магуэ;Magwe
MWR;;Motswari Airfield
MWS;;Mount Wilson
MWT;;Moolawatana
MWU;Муссау;Mussau
MWV;;Mundulkiri
MWW;;Mouscron
MWY;;Miranda Downs
MWZ;Мванза;Mwanza
MXA;;Municipal
MXB;Масамба;Masamba
MXC;;San Juan County
MXD;;Marion Downs
MXE;;Maxton
MXF;;Maxwell AFB
MXG;Марлборо;Marlborough
MXH;;Moro
MXI;;Imelda Romualdez Marcos
MXJ;Минна;Minna
MXK;Миндик;Mindik
MXL;;Mexicali
MXM;Моромбе;Morombe
MXN;;Morlaix
MXO;;Municipal
MXP;;Malpensa
MXQ;Митчелл-Ривер;Mitchell River
MXR;Миргород;Mirgorod
MXS;;Maota Savaii Is
MXT;Майнтирано;Maintirano
MXU;;Mullewa
MXV;;Moron
MXW;;Mandalgobi
MXX;Мора;Mora
MXY;;Mccarthy
MXZ;Мейсян;Meixian
MYA;;Moruya
MYB;Маюмба;Mayoumba
MYC;Маракай;Maracay
MYD;Малинди;Malindi
MYE;Мияке-Жима;Miyake Jima
MYF;;Montgomery Field
MYG;;Mayaguana
MYH;;Marble Canyon
MYI;;Murray Island
MYJ;Мацуяма;Matsuyama
MYK;;May Creek
MYL;;Mccall
MYM;Манки-Маунтин;Monkey Mountain
MYN;Мариб;Mareb
MYO;Майруда;Myroodah
MYP;;Mary
MYQ;Майсор;Mysore
MYR;;Myrtle Beach Afb
MYS;Мояль;Moyale
MYT;Мьиткьина;Myitkyina
MYU;;Ellis Field
MYV;;Yuba County
MYW;Мтвара;Mtwara
MYX;Меньямья;Menyamya
MYY;Мири;Miri
MYZ;;Monkey Bay
MZA;Музаффарнагар;Muzaffarnagar
MZB;;Mocimboa Praia
MZC;Мицик;Mitzic
MZD;Мендес;Mendez
MZE;Манати;Manatee
MZF;;Mzamba(Wild Coast Sun)
MZG;Макунг;Makung
MZH;Мерзифон;Merzifon
MZI;;Mopti
MZJ;;Marana
MZK;Маракеи;Marakei
MZL;;Santaguida
MZM;;Frescaty
MZN;Миндж;Minj
MZO;;Sierra Maestra
MZP;Мотуэка;Motueka
MZQ;Мкуз;Mkuze
MZR;;Mazar-i-sharif
MZS;Мостин;Mostyn
MZT;;Gen Rafael Buelna
MZU;Музаффарпур;Muzaffarpur
MZV;;Mulu, Sarawak
MZW;;Mechria
MZX;Мена;Mena
MZY;Залив Моссел;Mossel Bay
MZZ;;Marion
NAA;;Narrabri
NAB;Олбани NAS;Albany NAS
NAC;;Naracoorte
NAD;Маканал;Macanal
NAE;Натитингу;Natitingou
NAF;Банаина;Banaina
NAG;;Sonegaon
NAH;;Naha
NAI;Аннаи;Annai
NAJ;Нахичевань;Nakhichevan
NAK;Накхон Ратчасима;Nakhon Ratchasima
NAL;Нальчик;Nalchik
NAM;Намлеа;Namlea
NAN;;Nadi International
NAO;Наньчон;Nanchong
NAP;;Capodichino
NAQ;;Qaanaaq
NAR;Наре;Nare
NAS;;Nassau International
NAT;;Augusto Severo
NAU;;Napuka Island
NAV;Невсехир;Nevsehir
NAW;Наратхиват;Narathiwat
NAX;;Barbers Point
NAY;;Nanyuan Airport
NAZ;;Nana
NBA;;Nambaiyufa
NBB;Барранкоминас;Barrancominas
NBC;Набережные Челны;Naberevnye Chelny
NBG;;NAS/Alvin Callendar
NBH;Намбука Хэдс;Nambucca Heads
NBL;Сан-Блас;San Blas
NBO;;Jomo Kenyatta International
NBP;;Battery Pk City/N. Cov
NBR;;Nambour
NBU;;NAS
NBV;;Cana Brava
NBW;;Guantanamo NAS
NBX;Набире;Nabire
NCA;Норт-Кайкос;North Caicos
NCG;;Nueva Casas Grandes
NCH;Начингвеа;Nachingwea
NCI;Некокли;Necocli
NCL;;Newcastle Airport
NCN;;New Chenega
NCO;;NAS
NCP;;Cubi Pt NAS
NCQ;;Atlanta Nas
NCR;Сан Карлос;San Carlos
NCS;Ньюкасл;Newcastle
NCT;Гуанакасте;Guanacaste
NCU;Нукус;Nukus
NCY;;Annecy-Meythe
NDA;Банданаира;Bandanaira
NDB;Нуакдибу;Nouadhibou
NDC;Нандед;Nanded
NDD;Сумбе;Sumbe
NDE;Мандера;Mandera
NDF;;Ndalatandos
NDG;Цицихар;Qiqihar
NDI;Намиди;Namudi
NDJ;;Ndjamena
NDK;;Namdrik Island
NDL;Нделе;Ndele
NDM;Менди;Mendi
NDN;;Nadunumu
NDO;;La Palma Del Condado
NDP;;Ellyson NAS
NDR;Надор;Nador
NDS;;Sandstone
NDU;Рунду;Rundu
NDV;;USN Heliport
NDY;;Sanday
NDZ;;Cuxhaven
NEA;;Brunswick Golden Isles
NEC;Некочеа;Necochea
NEF;Нефтекамск;Neftekamsk
NEG;Негриль;Negril
NEJ;;Nejjo
NEK;;Nekemt
NEL;;Naec
NEN;;Olf Usn
NER;Нерюнгри;Neryungri
NES;;East 34th St Landing
NET;;New Bight
NEU;;Sam Neua
NEV;Ньюкасл;Newcastle
NEW;;Lakefront
NFB;;Detroit NAF
NFG;Нефтеюганск;Nefteyugansk
NFL;;NAS
NFR;;Nafoora
NGA;;Young
NGB;Нинбо;Ningbo
NGC;;North Rim
NGD;Анегада;Anegada
NGE;;Ngaoundere
NGI;;Ngau Island
NGL;;Ngala Airfield
NGM;;Agana NAS
NGN;Наргана;Nargana
NGP;;NAS
NGR;;Ningerum
NGS;Нагасаки;Nagasaki
NGU;;Nas Chambers
NGV;;Ngiva
NGW;;Cabaniss Field
NGX;Мананг;Manang
NGZ;;NAS
NHA;Нха Транг;Nha Trang
NHD;;Minhad AB
NHF;Нью-Халфа;New Halfa
NHK;;NAS
NHS;Нушки;Nushki
NHT;;Northolt
NHV;;Nuku Hiva
NHX;;Barin Olf Osn
NHZ;;NAS
NIA;Нимба;Nimba
NIB;;Nikolai
NIC;;Nicosia International
NIE;;Niblack
NIF;;Nifty
NIG;Никунау;Nikunau
NIK;Ниоколо-Коба;Niokolo Koba
NIM;Ниамей;Niamey
NIN;;Ninilchik
NIO;Ниоки;Nioki
NIP;;Jacksonville NAS
NIR;;Chase Field NAS
NIS;;Simberi
NIT;Ниорт;Niort
NIX;Ниоро;Nioro
NJA;;Atsugi NAS
NJC;Нижневартовск;Nizhnevartovsk
NJK;;El Centro NAF
NKA;Нкан;Nkan
NKB;;Noonkanbah
NKC;Нуакшот;Nouakchott
NKD;;Sinak
NKG;;Lukou International Airport
NKI;;Naukiti
NKL;Нколо;Nkolo
NKM;;Komaki AFB
NKN;Нанкина;Nankina
NKO;;Ankokoambo
NKS;;Nkongsamba
NKU;Нкаус;Nkaus
NKV;;Nichen Cove
NKX;;Miramar MCAS
NKY;Нкайи;Nkayi
NLA;;Ndola
NLC;;Lemoore NAS (Reeves Field)
NLD;;Intl Quetzalcoatl
NLE;;Jerry Tyler Memorial
NLF;;Darnley Island
NLG;;Nelson Lagoon
NLK;Норфолк Айленд;Norfolk Island
NLL;;Nullagine
NLP;;Nelspruit International
NLS;;Nicholson
NLU;Синоп;Santa Lucia
NLV;Николаев;Nikolaev
NMA;Наманган;Namangan
NMB;Даман;Daman
NME;;Nightmute
NMG;Сан-Мигель;San Miguel
NMN;;Nomane
NMP;;New Moon
NMR;;Nappa Merry
NMS;Намсанг;Namsang
NMT;Намту;Namtu
NMU;Наму;Namu
NNA;;NAF
NNB;Санта-Ана;Santa Ana
NND;Нангаде;Nangade
NNG;Наньнин;Nanning
NNI;Намутони;Namutoni
NNK;;Naknek
NNL;;Nondalton
NNM;Нарян-Мар;Naryan-Mar
NNR;;Connemara
NNT;Нан;Nan
NNU;;Nanuque
NNX;;Nunukan
NNY;Наньян;Nanyang
NOA;;Nowra
NOB;Носара-Бич;Nosara Beach
NOC;;Ireland West Airport Knock
NOD;Норден;Norden
NOE;Норддайх;Norddeich
NOG;Ногалес;Nogales
NOH;;Chicago NAS
NOI;Крымск;Krymsk
NOJ;Ноябрьск;Nojabrxsk
NOK;Нова-Шавантина;Nova Xavantina
NOL;;Nakolik River
NOM;Номад-Ривер;Nomad River
NON;Нонути;Nonouti
NOO;Наоро;Naoro
NOR;Нордфьордур;Nordfjordur
NOS;;Fascene
NOT;;Novato
NOU;;Tontouta
NOV;;Huambo
NOZ;Новокузнецк;Novokuznetsk
NPA;;Pensacola NAS
NPE;;Hawkes Bay
NPG;Нипа;Nipa
NPH;;Nephi
NPL;Нью Плимут;New Plymouth
NPO;Нангапинох;Nangapinoh
NPP;;Napperby
NPT;;State
NPU;;San Pedro Uraba
NQA;;Millington Regional Jetport
NQI;;NAS
NQL;;Niquelandia
NQN;Неукен;Neuquen
NQT;;Nottingham Airport
NQU;Нуки;Nuqui
NQX;;NAS
NQY;;Newquay Cornwall Airport
NRA;;Narrandera
NRB;;Ns
NRC;;Aux Field
NRD;Нордерней;Norderney
NRE;;Namrole
NRG;;Narrogin
NRI;;Shangri-la
NRK;;Kungsangen
NRL;;North Ronaldsay
NRM;Нара;Nara
NRN;;Weeze
NRR;;Roosevelt NAS
NRS;;NAS
NRT;;Narita International Airport
NRV;;USCG Shore Station
NRY;;Newry
NSA;Нуса;Noosa
NSB;;North SPB
NSE;;Whiting Field NAS
NSF;;Andrews NAF
NSH;;Now Shahr
NSI;;Nsimalen International
NSM;;Norseman
NSN;Нельсон;Nelson
NSO;;Scone
NSP;;NAF
NST;Након-Си-Таммарат;Nakhon Si Thammarat
NSV;;Noosaville
NSX;;Hovercraft/Launch Pt
NSY;;Sigonella NAF
NTA;Натадола;Natadola
NTB;Нутодден;Notodden
NTC;Санта-Каролина;Santa Carolina
NTD;;Point Mugu NAS (Naval Base Ventura County
NTE;;Nantes Atlantique
NTG;Наньтун;Nantong
NTI;Бинтуни;Bintuni
NTJ;;Manti-Ephraim
NTL;;Williamtown
NTM;;Miracema Do Norte
NTN;;Normanton
NTO;Санто-Антао;Santo Antao
NTQ;;Noto Airport
NTR;Тингрела;Tuxtla Gutierrez
NTT;;Kuini Lavenia
NTU;;NAS
NTX;Натуна-Ранай;Natuna Ranai
NTY;;Pilanesberg
NUB;;Numbulwar
NUD;Эн-Нахуд;En Nahud
NUF;;Castlereigh Reservoir
NUG;Нугуриа;Nuguria
NUH;Нунчиа;Nunchia
NUI;;Nuiqsut
NUJ;;Nojeh
NUK;;Nukutavake
NUL;;Nulato
NUN;;Saufley NAS
NUP;;Nunapitchuk
NUQ;;Moffett Field
NUR;;Nullarbor
NUS;Норсуп;Norsup
NUT;Нутуве;Nutuve
NUU;Накуру;Nakuru
NUW;;Whidbey Island NAS (Ault Field)
NUX;Новый Уренгой;Novy Urengoy
NVA;;La Marguita
NVD;;Nevada
NVG;Нуэва-Гуинея;Nueva Guinea
NVI;Навой;Navoi
NVK;;Framnes
NVP;Ново-Арипуана;Novo Aripuana
NVR;Новогород;Novgorod Airport
NVS;Неверс;Nevers
NVT;Навегантес;Navegantes
NVY;Нейвели;Neyveli
NWA;Моэли;Moheli
NWH;;Parlin Field
NWI;;Norwich International Airport
NWP;;NS
NWS;;Pier 11/Wall St. SPB
NWT;Новата;Nowata
NWU;;NAS
NXX;;Willow Grove NAS
NYE;Ньери;Nyeri
NYG;;Quantico Nas
NYI;Суньяни;Sunyani
NYK;Нануки;Nanyuki
NYM;Надым;Nadym
NYN;;Nyngan
NYO;;Skavsta
NYU;;Nyaung-u
NZA;;Nzagi
NZE;;Nzerekore
NZH;;Manzhouli
NZO;Нзоя;Nzoia
NZW;;South Weymouth
NZY;;North Island Nas
OAG;;Springhill
OAJ;;Albert J Ellis
OAK;;Oakland International Airport
OAL;;Cacoal
